GeoFips,GeoName,LineCode,Description,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
8023,Costilla,2,Population (persons) ,3081,3074,3064,3238,3208,3113,3142,3120,3173,3238,3151,3067,3045,3131,3217,3360,3320,3228,3217,3217,3215,3183,3262,3202,3225,3286,3399,3576,3605,3644,3601,3675,3619,3639,3645,3656,3562,3571,3567,3532,3481,3528,3641,3593,3518
8023,Costilla,3,Per capita personal income (dollars) ,1661,1847,1969,2237,2463,2804,3182,3566,3689,4352,5058,6338,7171,6989,8998,9605,9871,9144,8955,9681,10111,12019,12533,13947,15010,15288,16112,16372,16196,17304,18998,19400,21288,22078,21467,21771,23499,24195,24879,26652,27954,26605,28763,30011,32714
8025,Crowley,1,Personal income (thousands of dollars),8205,9883,11133,13828,20499,17015,22616,23279,21160,19558,20402,28630,33985,24933,21666,27810,28686,31405,33614,37858,42246,46399,44295,49496,51000,51588,57093,61076,73777,74420,81860,89005,97039,79632,80456,82845,91342,88637,90702,96764,91188,93672,100496,106658,107738
8025,Crowley,2,Population (persons) ,3164,3090,3108,3232,3266,3336,3336,3201,3157,2928,2817,2990,2992,3006,3102,3068,3056,3056,3014,3999,4054,3946,4072,4153,4327,4508,4642,4936,4997,5128,5336,5509,5614,5666,5464,5720,5677,5886,6015,5947,5797,5846,5803,5376,5322
8025,Crowley,3,Per capita personal income (dollars) ,2593,3198,3582,4278,6276,5100,6779,7272,6703,6680,7242,9575,11359,8294,6985,9065,9387,10277,11153,9467,10421,11758,10878,11918,11786,11444,12299,12374,14764,14512,15341,16156,17285,14054,14725,14483,16090,15059,15079,16271,15730,16023,17318,19840,20244
8027,Custer,1,Personal income (thousands of dollars),3751,4050,4667,5629,7187,6954,8372,8210,8760,9911,12979,15463,16920,17236,18177,19732,20747,21426,24239,26322,28508,29488,31710,34589,40511,44601,50449,55578,63500,70418,74472,80868,92272,96384,106018,114784,114487,122425,131429,135856,139896,136310,151235,158218,162376
8027,Custer,2,Population (persons) ,1102,1136,1194,1256,1132,1129,1141,1181,1240,1428,1550,1534,1558,1629,1789,1868,1850,1856,1803,1833,1848,1942,2004,2098,2207,2454,2702,2960,3195,3306,3455,3523,3664,3714,3865,3911,3989,3994,4112,4107,4190,4278,4225,4245,4285
8027,Custer,3,Per capita personal income (dollars) ,3404,3565,3909,4482,6349,6159,7337,6952,7065,6940,8374,10080,10860,10581,10160,10563,11215,11544,13444,14360,15426,15184,15823,16487,18356,18175,18671,18776,19875,21300,21555,22954,25183,25952,27430,29349,28701,30652,31962,33079,33388,31863,35795,37272,37894
8029,Delta,1,Personal income (thousands of dollars),46228,48232,54666,58797,71020,75363,88677,100105,109501,121263,142028,167760,197435,207939,224555,233815,234023,222658,229955,241239,255462,272768,291497,327973,362889,391090,423751,449297,494806,540307,569856,620679,637428,653897,673933,701904,753947,815322,903259,929000,907506,903054,987172,1038605,1057181
8029,Delta,2,Population (persons) ,15606,15295,15408,15911,16096,16612,17612,18817,19379,19747,20690,21467,22384,23414,23494,23493,23092,22238,21149,20943,20858,21053,21703,22284,23235,24366,25249,25764,26177,26970,27586,27877,28069,28677,28929,29305,29389,29789,30121,30712,31156,30868,30366,30422,30483
8029,Delta,3,Per capita personal income (dollars) ,2962,3153,3548,3695,4412,4537,5035,5320,5650,6141,6865,7815,8820,8881,9558,9953,10134,10013,10873,11519,12248,12956,13431,14718,15618,16051,16783,17439,18902,20034,20657,22265,22709,22802,23296,23952,25654,27370,29988,30249,29128,29255,32509,34140,34681
8031,Denver,1,Personal income (thousands of dollars),2246643,2529679,2817764,3081630,3387906,3668932,3924758,4213605,4600473,5116686,5606640,6162287,6947309,7615743,8037793,8608729,8956323,9074507,9165882,9515848,10339485,10735125,11002243,11844598,12609105,13257300,14375363,15289676,16197507,18087131,19400716,21691392,22576060,22659923,22903793,23641361,25339502,27916138,28415004,30585158,29098426,30394421,33468531,35875873,36999486
8031,Denver,2,Population (persons) ,511251,515561,525571,525836,525265,514664,500603,501147,498719,495186,495168,494235,499024,504576,511007,505507,504439,500090,492049,479719,472678,468139,478352,495279,508388,512684,518958,527643,536678,540893,548848,555651,561976,556790,552588,550756,551691,556895,564395,575721,589011,603421,620018,634542,649495
8031,Denver,3,Per capita personal income (dollars) ,4394,4907,5361,5860,6450,7129,7840,8408,9225,10333,11323,12468,13922,15093,15729,17030,17755,18146,18628,19836,21874,22931,23000,23915,24802,25859,27700,28977,30181,33439,35348,39038,40173,40697,41448,42925,45931,50128,50346,53125,49402,50370,53980,56538,56967
8033,Dolores,1,Personal income (thousands of dollars),4709,3819,4793,5148,8405,8752,9733,8567,9759,10104,12792,14764,17767,17429,19319,21468,21121,18384,20591,23387,23780,21470,21452,25196,26420,27558,29293,29409,34104,37155,40364,38653,42628,40096,44160,45882,49701,51592,56944,54653,52432,54324,58063,60100,65146
8033,Dolores,2,Population (persons) ,1532,1633,1591,1562,1564,1442,1595,1574,1476,1516,1514,1661,1674,1669,1767,1703,1585,1591,1516,1524,1481,1505,1401,1383,1422,1506,1583,1642,1680,1782,1824,1847,1849,1870,1842,1850,1869,1973,1980,2061,2057,2061,2028,1995,2029
8033,Dolores,3,Per capita personal income (dollars) ,3074,2339,3013,3296,5374,6069,6102,5443,6612,6665,8449,8889,10614,10443,10933,12606,13326,11555,13582,15346,16057,14266,15312,18218,18579,18299,18505,17910,20300,20850,22129,20927,23055,21442,23974,24801,26592,26149,28760,26518,25490,26358,28631,30125,32107
8035,Douglas,1,Personal income (thousands of dollars),38681,45424,53479,64591,82203,98891,117409,137756,167727,224038,286603,365212,457465,553442,645417,766625,876029,970910,1066967,1189604,1347502,1547003,2030169,2389354,2906995,3396114,4053349,4573155,5167769,5879895,6800991,8046152,8753888,8582929,9051784,10087560,11801101,13643084,15561131,16923673,17883884,18607809,20769395,22384309,23175877
8035,Douglas,2,Population (persons) ,7918,8629,9424,10439,11750,13119,14778,15884,17723,20759,23091,25619,27421,29829,32469,35697,38847,42300,46882,51304,55531,61670,67060,73707,81429,89796,101937,114690,130505,146164,162866,180121,196783,208911,220352,232508,243112,256136,267177,275500,281386,286909,292393,298417,305963
8035,Douglas,3,Per capita personal income (dollars) ,4885,5264,5675,6187,6996,7538,7945,8673,9464,10792,12412,14256,16683,18554,19878,21476,22551,22953,22759,23187,24266,25085,30274,32417,35700,37820,39763,39874,39598,40228,41758,44671,44485,41084,41079,43386,48542,53265,58243,61429,63556,64856,71032,75010,75747
8037,Eagle,1,Personal income (thousands of dollars),25466,29097,32258,38920,48681,56013,66835,82711,94564,113778,147297,177111,205901,231891,242023,276086,288469,296485,317465,367952,429033,488102,537177,650596,718817,788792,916048,1023183,1188094,1356391,1460994,1640307,1766515,1752417,1847816,1987824,2166951,2422855,2549422,2674156,2398878,2332230,2427108,2556228,2644828
8037,Eagle,2,Population (persons) ,7015,7681,8519,8857,9561,10327,10692,11860,12577,12131,13289,13486,14120,15822,16585,16878,17496,18165,18426,19434,20783,22297,23941,25516,27315,29476,31595,33415,35879,38434,40443,41961,43238,44227,44995,45893,47205,48476,49803,51049,52513,52092,51768,51921,52460
8037,Eagle,3,Per capita personal income (dollars) ,3630,3788,3787,4394,5092,5424,6251,6974,7519,9379,11084,13133,14582,14656,14593,16358,16488,16322,17229,18933,20643,21891,22438,25498,26316,26760,28993,30620,33114,35291,36125,39091,40856,39623,41067,43314,45905,49981,51190,52384,45682,44771,46884,49233,50416
8039,Elbert,1,Personal income (thousands of dollars),13983,13907,14336,18741,22829,25588,30819,32435,40668,48342,57510,72321,81084,93422,106246,120834,128618,133780,144557,153471,160396,172232,188300,220729,260275,307088,351579,404063,431086,494982,561377,653908,696478,711800,736162,798607,840206,879079,952603,999902,1007281,972777,1087649,1130798,1154486
8039,Elbert,2,Population (persons) ,3943,3924,3980,4090,4689,4730,4962,5306,5366,5588,6198,6904,7105,7432,7723,8008,8171,8306,8817,9149,9295,9752,10247,10743,11523,12810,14423,15841,17011,18077,19170,20060,21094,21678,21834,21977,22182,22423,22402,22634,22965,23091,23273,23415,23733
8039,Elbert,3,Per capita personal income (dollars) ,3546,3544,3602,4582,4869,5410,6211,6113,7579,8651,9279,10475,11412,12570,13757,15089,15741,16106,16395,16775,17256,17661,18376,20546,22587,23973,24376,25507,25342,27382,29284,32598,33018,32835,33716,36338,37878,39204,42523,44177,43862,42128,46734,48294,48645
8041,El Paso,1,Personal income (thousands of dollars),893031,1048743,1144009,1339507,1539905,1689656,1813016,1953541,2115125,2442135,2791629,3169384,3718303,4106565,4486541,5083656,5576210,6006392,6377363,6752019,7114636,7310697,7773184,8485959,9021600,9754184,10690595,11503400,12171819,13658143,14784741,16242152,17026020,17312408,17925064,18724921,19930919,21215923,22409055,23023846,23260743,24190357,25631830,26502138,26940874
8041,El Paso,2,Population (persons) ,228797,238149,250170,268911,289925,294270,293947,291540,301005,305086,309248,312043,321747,332335,343973,354326,370274,382860,394843,396073,397485,397491,404419,422062,437105,457150,469757,478381,486934,498062,509044,519938,535864,544145,547549,556667,565800,580251,586783,597919,608061,626691,636878,645439,655044
8041,El Paso,3,Per capita personal income (dollars) ,3903,4404,4573,4981,5311,5742,6168,6701,7027,8005,9027,10157,11557,12357,13043,14347,15060,15688,16152,17047,17899,18392,19221,20106,20639,21337,22758,24047,24997,27423,29044,31239,31773,31816,32737,33638,35226,36563,38190,38507,38254,38600,40246,41061,41128
8043,Fremont,1,Personal income (thousands of dollars),61280,68591,77015,86130,98447,109315,125567,139529,154914,177264,201893,230046,257130,274001,297522,320073,336902,359959,367938,377188,401027,406244,421530,470386,522924,598002,639142,685629,739029,800825,845616,911211,960139,960724,992464,1025236,1061753,1126751,1199735,1271023,1254112,1274006,1330202,1367556,1388144
8043,Fremont,2,Population (persons) ,21505,22122,22976,23784,24819,25735,26463,26500,26763,27066,28578,28804,29248,29841,30614,31380,31692,31843,32785,32658,32518,32254,32356,33130,36099,38943,41239,42671,43825,45026,45655,46245,46633,47019,46901,46605,46641,46873,46959,47166,46871,46874,47293,46760,46451
8043,Fremont,3,Per capita personal income (dollars) ,2850,3101,3352,3621,3967,4248,4745,5265,5788,6549,7065,7987,8791,9182,9718,10200,10631,11304,11223,11550,12332,12595,13028,14198,14486,15356,15498,16068,16863,17786,18522,19704,20589,20433,21161,21998,22764,24038,25549,26948,26757,27179,28127,29246,29884
8045,Garfield,1,Personal income (thousands of dollars),51479,57660,62267,71456,86423,98495,118001,134974,146046,169314,203322,234809,304720,383577,374372,355689,351750,357404,371389,408414,459379,510465,530432,561307,626660,709440,777344,839001,922274,1056784,1146769,1301590,1308345,1317863,1364965,1498859,1646929,1876562,2103961,2345163,2145818,2034739,2162994,2305441,2359201
8045,Garfield,2,Population (persons) ,14239,14963,15757,16358,16733,17324,18607,19217,19940,20467,21859,23023,25006,28510,28261,26600,26859,26647,26975,27852,28799,30379,31384,31520,32949,34815,36377,37826,39210,41095,42611,44257,45636,46925,47622,48193,49579,51594,53534,55449,57089,56087,56055,56901,57302
8045,Garfield,3,Per capita personal income (dollars) ,3615,3854,3952,4368,5165,5685,6342,7024,7324,8273,9302,10199,12186,13454,13247,13372,13096,13413,13768,14664,15951,16803,16901,17808,19019,20377,21369,22181,23521,25716,26913,29410,28669,28084,28662,31101,33218,36372,39301,42294,37587,36278,38587,40517,41171
8047,Gilpin,1,Personal income (thousands of dollars),3840,4306,5217,6413,7352,8594,10025,11598,13976,16863,21010,26701,31366,33395,35330,37660,39969,42430,44015,44627,48532,50896,58682,69030,77658,84381,96784,111053,124089,137752,154786,170150,179947,178968,180886,178561,195879,210553,210021,223001,224638,225068,230878,241734,249717
8047,Gilpin,2,Population (persons) ,1289,1298,1429,1531,1758,1703,1862,1892,1985,2100,2230,2462,2543,2666,2854,2807,2928,2985,3049,3020,3016,3078,3171,3179,3314,3477,3688,3815,4101,4337,4658,4783,4781,4788,4777,4752,4810,4883,4893,5026,5352,5468,5468,5497,5601
8047,Gilpin,3,Per capita personal income (dollars) ,2979,3317,3651,4189,4182,5046,5384,6130,7041,8030,9422,10845,12334,12526,12379,13416,13651,14214,14436,14777,16092,16535,18506,21714,23433,24268,26243,29110,30258,31762,33230,35574,37638,37378,37866,37576,40723,43120,42923,44369,41973,41161,42223,43976,44584
8049,Grand,1,Personal income (thousands of dollars),13165,13912,17398,21484,27591,28172,40401,46453,46402,54504,65876,79808,88527,93301,102855,110590,113974,114321,117544,120924,132638,135973,146416,159904,179245,199646,221339,243708,265667,294311,331414,371691,395549,428467,442121,466230,477330,516155,552784,564296,538770,534280,568381,582364,612391
8049,Grand,2,Population (persons) ,4037,4227,4791,5753,6159,6180,6503,6536,6608,6894,7205,7528,7726,8068,8045,8479,8614,8466,8306,8022,7854,8041,8251,8650,9089,9312,9944,10552,11005,11529,12138,12496,12743,13158,13324,13596,13627,14003,14306,14622,14902,14787,14535,14162,14289
8049,Grand,3,Per capita personal income (dollars) ,3261,3291,3631,3734,4480,4559,6213,7107,7022,7906,9143,10601,11458,11564,12785,13043,13231,13504,14152,15074,16888,16910,17745,18486,19721,21440,22259,23096,24141,25528,27304,29745,31040,32563,33182,34292,35028,36860,38640,38592,36154,36132,39104,41122,42858
8051,Gunnison,1,Personal income (thousands of dollars),17171,18861,21774,24854,28675,33171,37530,42635,47795,57195,68960,81827,90579,95810,98881,106562,111935,114480,116503,121535,131945,140941,151799,173716,194246,213742,227607,243525,267267,296124,310561,337380,378971,388438,411896,436892,454686,499550,528708,526310,513785,510480,533777,566249,575277
